class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,20,34560,1728,1728,0.0,5.086805555555555,4.166666666666666,6.30787037,0.4545311450430311,5.086805555555555,4.166666666666666,6.30787037,0.4545311450430311,6,5,1,0.1666666666666666,1.2097488606102396,8.603026793891835e-05,4.552009064561116,0.7747520090414055,5.275322492846514,0.023682034,25.44833099101287,4.264097897662245,1.0,1,1,0,1.75,1,4,1.299038105676658,5.05,5,6,0.2179449471770336,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.046657401,0,0,0.5623351446188083
HUBERREGRESSOR,5,6911,1383,1382,0.4,4.876320170605858,3.762662807525326,5.788712011577424,0.6690881528302778,4.876320170605858,3.762662807525326,5.788712011577424,0.6690881528302778,4,3,1,0.1666666666666666,0.816493007,0.051440432,3.230422660551429,0.4052518376376153,3.238211968873688,0.7593501758529535,14.932942504380886,3.1471468666094324,1.0,1,1,0,1.4,1,3,0.8,3.0,3,3,0.0,4.0,4,4,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.055945935,0,0,0.5004024235381879
XGBRegressor,10,8061,807,806,0.3,5.024152806860565,3.349875930521092,6.451612903225806,0.9989219974520228,5.024152806860565,3.349875930521092,6.451612903225806,0.9989219974520228,4,4,0,0.5,1.4696206884361176,0.03729082,4.945224649813191,0.9971290878702458,8.112299268068224,0.7352139112400096,33.28451144789466,5.808174717557008,0.0,0,0,0,1.2,0,3,1.469693845669907,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1173650787071341,0,0,0.6730116670092565
HUBERREGRESSOR,20,24181,1210,1209,0.2179449471770337,5.049415882260457,3.804797353,6.368899917287014,0.6069282376722083,5.049415882260457,3.804797353,6.368899917287014,0.6069282376722083,6,6,0,0.1666666666666666,1.0721359265464625,0.036462276,2.421463266,0.3024655914873538,5.443568517954739,1.1962295915708188,11.32313789182752,1.0590503509343097,0.0,0,0,0,6.0,6,6,0.0,6.0,6,6,0.0,6.0,6,6,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.139744902,0,0,0.0
XGBRegressor,5,8061,1613,1612,0.4,4.986977704414658,3.908188585607941,6.327543424317618,0.8583427687172066,4.986977704414658,3.908188585607941,6.327543424317618,0.8583427687172066,5,4,1,0.5,1.445221547,0.05917994,4.317801450819709,0.00271658,5.327607003256415,0.4064271590122468,21.74475195490374,0.010220846,1.0,1,1,0,1.8,1,5,1.6000000000000003,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1224969236383934,0,0,0.5004024235381879
HUBERREGRESSOR,10,8061,807,806,0.3,5.073934340033393,4.089219330855019,6.327543424317618,0.6441435970376522,5.073934340033393,4.089219330855019,6.327543424317618,0.6441435970376522,3,3,0,0.5,0.1023113977164517,0.004892751,0.1839389707481042,0.020632073,1.1696749257496863,1.0576486382039507,1.3537065605970735,0.039517685,0.0,0,0,0,0.0,0,0,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.1688830676855448,0,0,0.0
XGBRegressor,20,38001,1901,1900,0.2179449471770337,5.0183075389684095,4.313519200420831,5.684210526315789,0.3410314071610271,5.0183075389684095,4.313519200420831,5.684210526315789,0.3410314071610271,7,7,0,0.1666666666666666,1.898770152332372,7.640702065823105e-06,4.967161494724939,0.7098642455111908,9.139440764779112,0.014072495,32.30930715433796,4.7776527986973605,0.0,0,0,0,6.45,6,7,0.4974937185533101,5.85,5,7,0.4769696007084728,7.0,7,7,0.0,4,4,4,0,2,2,2,0,2,2,2,0,0.051012634,8,8,0.0
XGBRegressor,5,17280,3456,3456,0.0,5.092592592592593,4.571759259,5.989583333333334,0.5192233346332861,5.092592592592593,4.571759259,5.989583333333334,0.5192233346332861,5,5,0,0.1666666666666666,2.483929493981344,0.000983365,4.669866487284714,0.7492577603904987,9.99632509,0.051539581,26.354758711263216,4.3676338458370925,0.0,0,0,0,4.2,4,5,0.3999999999999999,4.4,4,5,0.4898979485566356,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.067185188,0,0,0.0
XGBRegressor,5,6911,1383,1382,0.4000000000000001,5.078914626961878,4.558610709117222,6.150506512301012,0.5691022294871789,5.078914626961878,4.558610709117222,6.150506512301012,0.5691022294871789,2,2,0,0.5,0.021598477,0.004349725,0.1144402528278491,0.027219341,1.1915424730476627,0.7783774246456954,1.316353432157548,0.084475444,0.0,0,0,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.5948493669823532,0,0,0.0
XGBRegressor,15,27646,1844,1843,0.2494438257849294,5.045922328687743,4.395008138903961,5.914270211611504,0.4406106007032898,5.045922328687743,4.395008138903961,5.914270211611504,0.4406106007032898,5,5,0,0.1666666666666666,0.063930899,1.2287857809558651e-06,2.1537000910843203,0.2398686478108428,1.4672170677085956,0.7908741889158053,3.4605998352498872,0.1932703534229641,0.0,0,0,0,3.6,3,5,0.6110100926607788,4.0,3,5,0.3651483716701107,5.0,5,5,0.0,0,0,0,0,0,0,0,0,4,4,4,0,0.015105077,20,3,0.3926744672275521
LASSO,10,11520,1152,1152,0.0,4.947916666666666,3.732638888888889,5.902777777777778,0.7221053591349105,4.947916666666666,3.732638888888889,5.902777777777778,0.7221053591349105,8,8,0,0.5,0.660178517,2.5729837011868104e-06,3.285114631640256,0.3534153383866208,4.372833202777887,0.3992202419577921,16.819361212483617,1.391028519069773,0.0,0,0,0,6.6,5,8,0.8,7.1,7,8,0.3,8.0,8,8,0.0,2,2,2,0,0,0,0,0,4,4,4,0,0.2416521365412082,1151,47,0.0
XGBRegressor,20,34560,1728,1728,0.0,5.043402777777778,4.166666666666666,5.671296296296297,0.4528240924155673,5.043402777777778,4.166666666666666,5.671296296296297,0.4528240924155673,6,5,1,0.1666666666666666,1.9755473787469944,0.009779236,4.768719225975579,0.751350209,9.262883001317912,0.2031147684760994,26.73989337885455,4.306553179883582,1.0,1,1,0,2.3,0,5,1.7349351572897471,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.037993838,0,0,0.6730116670092565
HUBERREGRESSOR,20,42041,2103,2102,0.2179449471770336,5.133085443159675,4.329210275927688,6.279733587059944,0.5291061845317404,5.133085443159675,4.329210275927688,6.279733587059944,0.5291061845317404,10,9,1,0.1666666666666666,1.3401279211489596,1.0524175071584571e-11,3.877052866,0.5539536554716874,8.624818881556594,0.7397809608586337,22.48316814463803,1.7283842887483245,1.0,1,1,0,7.35,4,9,1.5898113095584647,9.15,9,10,0.3570714214271425,10.0,10,10,0.0,4,4,4,0,2,2,2,0,4,4,4,0,0.025062857,1051,1050,0.5004024235381879
XGBRegressor,5,10366,2074,2073,0.3999999999999999,5.055019279425371,4.725168756027001,5.354558610709118,0.2256900881664341,5.055019279425371,4.725168756027001,5.354558610709118,0.2256900881664341,5,5,0,0.5,1.6947832717433229,4.232770154673764e-05,4.383077644817017,0.7647774024599517,7.287042995706946,0.1620887995832793,22.25338068004365,4.589306010860836,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1920807101865556,0,0,0.0
LinearSVR,15,27646,1844,1843,0.2494438257849294,5.031429626238147,4.3407487791644055,6.127982646420825,0.4985670437218883,5.031429626238147,4.3407487791644055,6.127982646420825,0.4985670437218883,1,1,0,0.1666666666666666,0.4162263525725727,1.6604123127122632e-05,2.1056756887502406,0.0,1.2540336744161402,0.6408248869712994,3.5647367585097083,0.0,0.0,0,0,0,0.1333333333333333,0,1,0.3399346342395189,0.1333333333333333,0,1,0.339934634,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.015296769,0,0,0.3926744672275521
XGBRegressor,10,17280,1728,1728,0.0,4.947916666666667,4.282407407407407,5.787037037037037,0.4766846726900716,4.947916666666667,4.282407407407407,5.787037037037037,0.4766846726900716,6,6,0,0.1666666666666666,1.966800352751081,0.1126364210408237,4.473624355686893,0.5736348674366774,7.025107714926553,0.1240945878080728,23.04725688949064,3.6970908623357857,0.0,0,0,0,5.8,5,6,0.3999999999999999,5.0,5,5,0.0,6.0,6,6,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.093645963,0,0,0.0
LinearSVR,5,14016,2804,2803,0.3999999999999999,5.015687797311115,4.816268283981449,5.208704958972529,0.1398691753905094,5.015687797311115,4.816268283981449,5.208704958972529,0.1398691753905094,2,2,0,0.5,0.427178971,0.005000937,1.729058823,0.491786353,1.342369623772751,0.2577941042345348,2.9320761048875568,0.3455608260901783,0.0,0,0,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.4314933046121958,0,0,0.0
LASSO,10,10361,1037,1036,0.3,5.134595264778485,4.536679536679537,6.274131274131274,0.5080796136505389,5.134595264778485,4.536679536679537,6.274131274131274,0.5080796136505389,4,4,0,0.1666666666666666,0.9382917305597636,0.8572932721738611,1.0090595700743417,0.001309194,0.2269176845149673,0.023617876,0.4054495272585097,0.00459586,0.0,0,0,0,3.6,0,4,1.2000000000000002,4.0,4,4,0.0,4.0,4,4,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.2113127509454001,0,0,0.3250829733914482
LinearSVR,15,17280,1152,1152,0.0,5.05787037,4.427083333333334,5.902777777777778,0.3702799368760737,5.05787037,4.427083333333334,5.902777777777778,0.3702799368760737,11,11,0,0.1666666666666666,1.4170101289708223,4.005801994799989e-06,4.9802696757724965,0.656084774,9.625142580615018,0.3210087960162684,34.21204054618945,3.759563284102398,0.0,0,0,0,9.933333333333334,7,11,0.8537498983243801,9.933333333333334,9,11,0.573488351,10.866666666666667,10,11,0.339934634,4,4,4,0,2,2,2,0,6,6,6,0,0.016249344,14,2,0.2449300267946353
XGBRegressor,5,10366,2074,2073,0.3999999999999999,5.016418562395421,4.821600771456123,5.402797877472263,0.2307305741424826,5.016418562395421,4.821600771456123,5.402797877472263,0.2307305741424826,3,3,0,0.5,1.4364311887706565,0.0,4.267400707326956,0.9369663594499134,6.980142053716486,0.5523189004238742,20.759343324828045,4.817326777,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.2798477513946655,0,0,0.0
XGBRegressor,15,34560,2304,2304,0.0,4.968171296296296,4.296875,6.076388888888888,0.4617497123481145,4.968171296296296,4.296875,6.076388888888888,0.4617497123481145,3,2,1,0.1666666666666666,0.3024557646350517,0.000670362,1.9836822729432853,0.420594373,1.1209416983449991,0.091906393,2.4948175708663323,0.3041248258721524,1.0,1,1,0,1.2666666666666666,1,2,0.4422166387140533,2.0,2,2,0.0,3.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.017137025,0,0,0.5004024235381879
XGBRegressor,5,17280,3456,3456,0.0,4.982638888888888,4.571759259,5.41087963,0.2783799414538354,4.982638888888888,4.571759259,5.41087963,0.2783799414538354,5,5,0,0.1666666666666666,3.391194621809124,8.230543760616792e-06,4.573175874992472,0.6745390301139298,16.14676949943288,0.1162982541600388,24.79825416521634,3.4356468355541856,0.0,0,0,0,4.4,4,5,0.4898979485566356,4.0,4,4,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.014915969,0,0,0.0
XGBRegressor,20,42041,2103,2102,0.2179449471770336,4.971330205184655,3.9486203615604185,5.708848715509039,0.4308400971095424,4.971330205184655,3.9486203615604185,5.708848715509039,0.4308400971095424,4,4,0,0.1666666666666666,0.1763560169170178,7.311872172341633e-06,2.984844858547054,0.4320863556274781,1.5016475785240424,0.079142117,8.095511414,0.7584641896504504,0.0,0,0,0,3.15,3,4,0.3570714214271425,3.25,3,4,0.4330127018922193,4.0,4,4,0.0,0,0,0,0,0,0,0,0,2,2,2,0,0.015384329,2,2,0.0
XGBRegressor,10,34560,3456,3456,0.0,4.965277777777778,4.369212962962963,5.729166666666666,0.3667356369850661,4.965277777777778,4.369212962962963,5.729166666666666,0.3667356369850661,3,3,0,0.1666666666666666,0.3552623455966114,6.457783783083448e-06,2.918385560363787,0.5226092049441656,1.6131667144798634,0.033726295,7.5335352265093825,0.9593277748508012,0.0,0,0,0,2.5,2,3,0.5,2.1,2,3,0.3,3.0,3,3,0.0,0,0,0,0,0,0,0,0,2,2,2,0,0.016584722,1727,1727,0.5004024235381879
XGBRegressor,5,20736,4148,4147,0.3999999999999999,5.015412379991902,4.653966723,5.424300867888139,0.2561423402851887,5.015412379991902,4.653966723,5.424300867888139,0.2561423402851887,1,1,0,0.1666666666666666,0.5824468583816095,0.1187609003081032,1.1932982732187172,0.0,0.8997745360279931,0.4252602375410297,1.2300267120606896,0.0,0.0,0,0,0,0.2,0,1,0.4,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.012022189,0,0,0.5004024235381879
XGBRegressor,10,13821,1383,1382,0.3,5.050342540650215,3.907380607814761,5.861070911722142,0.5889690505718784,5.050342540650215,3.907380607814761,5.861070911722142,0.5889690505718784,5,5,0,0.1666666666666666,1.9870087534415064,0.6044334900819558,4.743610764719923,0.005889067,6.843886166771702,0.069360553,26.445045469171333,0.1036263523301338,0.0,0,0,0,5.0,5,5,0.0,5.0,5,5,0.0,5.0,5,5,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.1067490571825301,0,0,0.0
ELASTICNETCV,10,10361,1037,1036,0.3,5.028464199148866,4.343629343629344,5.694980694980695,0.5115013728581038,5.028464199148866,4.343629343629344,5.694980694980695,0.5115013728581038,5,5,0,0.1666666666666666,0.027169009,0.000224279,0.076572222,0.000991917,0.6611930510583397,0.5702675730907365,0.740012429,0.001762867,0.0,0,0,0,4.7,2,5,0.9,5.0,5,5,0.0,5.0,5,5,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.2759460885352821,0,0,0.3250829733914482
XGBRegressor,5,5760,1152,1152,0.0,4.895833333333333,3.90625,5.729166666666666,0.6486646420926873,4.895833333333333,3.90625,5.729166666666666,0.6486646420926873,5,5,0,0.5,3.3464745186668687,0.000715557,4.528810417518775,0.7679585775993343,16.118848052026536,1.187021061,25.155550240293703,3.8574403401199255,0.0,0,0,0,4.4,4,5,0.4898979485566356,4.2,4,5,0.3999999999999999,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.013433198,0,0,0.0
HUBERREGRESSOR,10,10361,1037,1036,0.3,4.960868707252507,3.571428571428571,5.694980694980695,0.6545980257157205,4.960868707252507,3.571428571428571,5.694980694980695,0.6545980257157205,4,4,0,0.5,3.171732010567694,3.762833374610816e-07,5.319194232430116,0.6583624250911612,18.80444898482488,0.8427309196024684,38.710831,4.797584151974562,0.0,0,0,0,2.7,0,3,0.9,3.0,3,3,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.015604394,0,0,0.3250829733914482
XGBRegressor,5,6336,1268,1267,0.4,5.145254818381681,4.735595896,6.077348066298343,0.4855184975076818,5.145254818381681,4.735595896,6.077348066298343,0.4855184975076818,2,2,0,1.0,1.0616838436581295,0.008452534,4.248117160933072,0.7959054522477133,3.842289597,0.1660785887576463,20.03852947456102,4.723072184,0.0,0,0,0,1.6,1,2,0.4898979485566356,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.3170499026834906,0,0,0.6730116670092565
XGBRegressor,5,34560,6912,6912,0.0,4.988425925925926,4.557291666666666,5.80150463,0.4311633876563284,4.988425925925926,4.557291666666666,5.80150463,0.4311633876563284,5,5,0,0.1666666666666666,1.036581477443741,0.000228329,4.404308179405703,0.7010906174538364,3.983796896644469,0.047118716,22.35142388939846,3.614613989906544,0.0,0,0,0,5.0,5,5,0.0,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1942307966929668,0,0,0.0
LinearSVR,5,10366,2074,2073,0.3999999999999999,5.180394854912381,4.245055475156778,5.836951278340569,0.5254049807470998,5.180394854912381,4.245055475156778,5.836951278340569,0.5254049807470998,1,1,0,0.5,0.3369714345957788,2.070176499108719e-06,1.3941699840434545,0.0,1.4097639410457687,1.2000001549358348,1.7510390069906907,0.0,0.0,0,0,0,0.6,0,1,0.4898979485566356,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.019595701,0,0,0.6730116670092565
LinearSVR,20,34560,1728,1728,0.0,4.971064814814815,3.8194444444444446,5.787037037037037,0.4414489014940636,4.971064814814815,3.8194444444444446,5.787037037037037,0.4414489014940636,9,8,1,0.1666666666666666,1.631484690282011,3.976648578129971e-06,3.662585695795505,0.4952957369799527,9.874700240291377,0.1699982176573553,20.4213926,1.606353032531343,1.0,1,1,0,5.9,2,8,2.406241883103193,8.0,8,8,0.0,9.0,9,9,0.0,5,5,5,0,3,3,3,0,2,2,2,0,0.023329542,863,863,0.6474466390346325
HUBERREGRESSOR,5,6911,1383,1382,0.4000000000000001,5.006472014423645,4.413892908827786,5.788712011577424,0.4804119548028371,5.006472014423645,4.413892908827786,5.788712011577424,0.4804119548028371,3,3,0,0.5,0.3973823237228376,0.019464582,0.7172212326614089,0.000553982,1.1849191698190618,0.1958855647941506,2.196897832000799,0.001553921,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.3869514611746764,0,0,0.0
HUBERREGRESSOR,10,11520,1152,1152,0.0,4.947916666666666,4.166666666666666,5.902777777777778,0.4941058844013093,4.947916666666666,4.166666666666666,5.902777777777778,0.4941058844013093,6,6,0,0.5,0.9377948811876406,1.5195054021415351e-05,2.997120864653861,0.3820882518463182,5.5012976453529046,1.200452471864229,13.95288872852158,1.5674811438556628,0.0,0,0,0,5.6,5,6,0.4898979485566356,6.0,6,6,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.237154507,383,47,0.0
XGBRegressor,10,34560,3456,3456,0.0,4.956597222222222,4.542824074074074,5.295138888888888,0.222650563,4.956597222222222,4.542824074074074,5.295138888888888,0.222650563,5,5,0,0.1666666666666666,1.9750202938205248,0.1474640008817687,4.545534124184236,0.5999818399013969,6.580048271937311,0.233557613,24.665939177581546,3.6400682942227833,0.0,0,0,0,4.2,4,5,0.3999999999999999,4.2,4,5,0.3999999999999999,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.080786542,0,0,0.0
XGBRegressor,5,5760,1152,1152,0.0,5.052083333333334,4.427083333333334,5.381944444444445,0.3312288893808838,5.052083333333334,4.427083333333334,5.381944444444445,0.3312288893808838,2,2,0,1.0,0.050285025,0.013195226,0.2658275995527072,0.065529727,0.7951590665542507,0.1336638380158534,1.205934760900493,0.09698678,0.0,0,0,0,1.0,1,1,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.5829909736995552,0,0,0.0
XGBRegressor,10,20731,2074,2073,0.3,4.992515238,4.100337674867342,5.933429811866859,0.5432309606361206,4.992515238,4.100337674867342,5.933429811866859,0.5432309606361206,3,3,0,0.1666666666666666,0.8546274848440417,9.524858567542467e-06,4.585037422927504,1.1000315981087263,4.338271057185798,0.2720262556818191,25.41258872652165,6.060124938164826,0.0,0,0,0,2.4,2,3,0.4898979485566356,2.3,2,3,0.458257569,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.1990578644602368,0,0,0.0
LinearSVR,15,38011,2535,2534,0.2494438257849294,4.956459604993392,3.827940016,5.880031570639305,0.5197145737413895,4.956459604993392,3.827940016,5.880031570639305,0.5197145737413895,7,6,1,0.1666666666666666,1.4001977921161963,6.098563573607159e-06,3.5827097647110167,0.488122972,8.352438023660293,1.0470341780754444,18.93805457,1.8392422164342488,1.0,1,1,0,4.733333333333333,2,6,0.9285592184789412,6.0,6,6,0.0,7.0,7,7,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.021990344,1267,844,0.2449300267946353
HUBERREGRESSOR,5,27646,5530,5529,0.3999999999999999,5.027869164,4.556962025316456,5.371676614215952,0.2921251995460852,5.027869164,4.556962025316456,5.371676614215952,0.2921251995460852,15,15,0,0.1666666666666666,0.018142129,1.2750522984604477e-12,0.6679563222959298,0.057919344,1.4749202975527855,0.8116783306277706,1.500540055826635,0.042920921,0.0,0,0,0,14.2,13,15,0.7483314773547882,14.0,14,14,0.0,15.0,15,15,0.0,0,0,0,0,0,0,0,0,14,14,14,0,0.012809702,61,2,0.0
XGBRegressor,15,20731,1383,1382,0.2494438257849294,4.939460243414713,3.690303907380608,5.933429811866859,0.560135315,4.939460243414713,3.690303907380608,5.933429811866859,0.560135315,3,3,0,0.1666666666666666,1.4123368292630272,0.044350167,4.5817362176498255,1.2345156848842709,7.945865477588328,1.1784039082422475,25.05527376804832,6.146635948638772,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.1926141681435391,0,0,0.0
XGBRegressor,10,17280,1728,1728,0.0,5.09837963,4.513888888888888,6.597222222222222,0.584719885,5.09837963,4.513888888888888,6.597222222222222,0.584719885,4,4,0,0.1666666666666666,3.250579859712329,2.7277745554647188e-06,4.838350665604141,0.6665776941494638,17.027179362505763,0.466751708,28.845233205553864,3.8495683044087214,0.0,0,0,0,2.8,1,3,0.6,3.1,3,4,0.3,3.9,3,4,0.3,3,3,3,0,1,1,1,0,0,0,0,0,0.01490966,0,0,0.3250829733914482
XGBRegressor,15,12661,845,844,0.2494438257849293,5.181197827570412,4.1469194312796205,6.6350710900473935,0.7493920962320766,5.181197827570412,4.1469194312796205,6.6350710900473935,0.7493920962320766,6,6,0,0.5,1.846356962083568,0.000121237,5.213647045260668,0.7111566659063325,8.152877576609507,0.148525028,34.66891021830496,5.056757237254767,0.0,0,0,0,5.2,5,6,0.3999999999999999,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1620966401217451,0,0,0.0
XGBRegressor,10,10361,1037,1036,0.3,4.999553210739324,3.474903474903475,6.081081081081082,0.717119569,4.999553210739324,3.474903474903475,6.081081081081082,0.717119569,2,2,0,0.1666666666666666,0.034567973,0.000515836,0.058381119,0.006655452,1.325158813734422,1.230189262181976,1.4380477607966191,0.008823912,0.0,0,0,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.3513749267125899,0,0,0.0
LinearSVR,5,34560,6912,6912,0.0,4.884259259,4.701967592592593,5.208333333333334,0.1713295294338829,4.884259259,4.701967592592593,5.208333333333334,0.1713295294338829,5,4,1,0.1666666666666666,0.1313719865966586,0.033326365,0.2994540714334681,0.000205675,0.8415854376915908,0.3659220997939694,1.198811831437226,0.000311362,1.0,1,1,0,2.6,1,5,1.9595917942265424,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.075844363,0,0,0.6730116670092565
QUANTILEREGRESSOR,15,34560,2304,2304,0.0,4.973958333333333,4.383680555555555,5.338541666666666,0.2707257324239828,4.973958333333333,4.383680555555555,5.338541666666666,0.2707257324239828,5,4,1,0.1666666666666666,0.1974444352606541,0.005571566,0.4625388357512068,0.001112841,0.8436593214754906,0.064572949,1.2598707168575518,0.004159373,1.0,1,1,0,0.0,0,0,0.0,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.071078619,0,0,0.0
LASSO,10,10361,1037,1036,0.3,4.903083962871812,3.957528957528957,5.501930501930502,0.4886823620450385,4.903083962871812,3.957528957528957,5.501930501930502,0.4886823620450385,9,9,0,0.5,0.6817925818055527,8.009737961730763e-06,3.1236482246523445,0.4693654292496444,4.590330071353638,1.192072216624484,14.289591361314589,1.4614361262794076,0.0,0,0,0,8.0,7,9,0.4472135954999579,8.0,8,8,0.0,8.8,8,9,0.4,3,3,3,0,1,1,1,0,4,4,4,0,0.2848725385376676,1036,47,0.0
HUBERREGRESSOR,5,27646,5530,5529,0.3999999999999999,5.038717111191132,4.665461121157324,5.425935973955507,0.279858151,5.038717111191132,4.665461121157324,5.425935973955507,0.279858151,12,12,0,0.1666666666666666,0.030106685,6.97128564701814e-13,0.695572979,0.073608227,1.462670251568385,0.233519495,1.7283159071854444,0.111849887,0.0,0,0,0,11.4,11,12,0.4898979485566356,11.0,11,11,0.0,12.0,12,12,0.0,0,0,0,0,0,0,0,0,11,11,11,0,0.011180913,10,2,0.0
LinearSVR,5,42046,8410,8409,0.3999999999999999,4.951708922932213,4.6497799976215966,5.398335315,0.2735238528738921,4.951708922932213,4.6497799976215966,5.398335315,0.2735238528738921,1,1,0,0.1666666666666666,1.4188839551495669,0.6219080543534302,2.6159113206553664,0.0,3.382895285548744,1.0164680635280594,8.127124309742431,0.0,0.0,0,0,0,0.2,0,1,0.4,0.2,0,1,0.4,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.015497939,0,0,0.6730116670092565
HUBERREGRESSOR,15,34560,2304,2304,0.0,4.947916666666667,4.296875,5.989583333333334,0.456039081,4.947916666666667,4.296875,5.989583333333334,0.456039081,8,7,1,0.1666666666666666,1.5108551700659048,2.6432303082440293e-05,3.553131731,0.4498362740506118,9.085346185,0.126018166,20.25899033724944,1.6497576323624663,1.0,1,1,0,5.2,2,7,1.514375558880073,7.2,7,8,0.3999999999999999,8.0,8,8,0.0,4,4,4,0,2,2,2,0,2,2,2,0,0.024424581,1151,1151,0.5799151714181009
