class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,15,14011,935,934,0.2494438257849293,4.974643780034887,3.5331905781584587,6.423982869379015,0.6968754213368004,4.974643780034887,3.5331905781584587,6.423982869379015,0.6968754213368004,11,11,0,0.5,0.051973347,3.275732127334814e-05,2.2155267077395124,0.1872113184683869,1.468803413371736,0.052589481,3.6636470008314737,0.1665212925255524,0.0,0,0,0,10.066666666666666,9,11,0.679869268,10.0,9,11,0.5163977794943222,10.533333333333331,10,11,0.498887652,0,0,0,0,0,0,0,0,10,10,10,0,0.018031191,934,2,0.3926744672275521
LinearSVR,5,17280,3456,3456,0.0,5.023148148148148,4.832175925925926,5.208333333333334,0.1412795788858069,5.023148148148148,4.832175925925926,5.208333333333334,0.1412795788858069,6,5,1,0.1666666666666666,0.4084413079990566,0.024957113,0.9261220620333586,0.1353604445774697,0.959549309,0.074456524,2.330976398439088,0.1307431890959626,1.0,1,1,0,2.0,1,5,1.5491933384829668,5.2,5,6,0.3999999999999999,5.8,5,6,0.3999999999999999,4,4,4,0,2,2,2,0,0,0,0,0,0.056856285,0,0,0.5004024235381879
XGBRegressor,20,24181,1210,1209,0.2179449471770337,5.003944247346007,2.977667493796526,6.534325889,0.8199478438396602,5.003944247346007,2.977667493796526,6.534325889,0.8199478438396602,4,4,0,0.1666666666666666,3.1739431124437227,1.455613477319266e-05,4.714708945256648,0.5573332605801484,16.049151939593603,0.196346596,26.899045973418545,2.8834992870599576,0.0,0,0,0,2.75,0,4,0.9420721840708386,3.2,3,4,0.3999999999999999,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.01586046,0,0,0.3250829733914482
HUBERREGRESSOR,5,42046,8410,8409,0.3999999999999999,5.039719772527283,4.780592222618623,5.398977286240933,0.2228147214269625,5.039719772527283,4.780592222618623,5.398977286240933,0.2228147214269625,5,4,1,0.1666666666666666,0.7466658646960017,0.059413339,1.5991369056860902,0.000149748,1.283517195110863,0.343233796,2.2240031457606744,0.000336304,1.0,1,1,0,3.4,1,5,1.9595917942265424,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.056965043,0,0,0.6730116670092565
HUBERREGRESSOR,5,5760,1152,1152,0.0,4.965277777777778,4.253472222222222,5.902777777777778,0.5473570406400848,4.965277777777778,4.253472222222222,5.902777777777778,0.5473570406400848,8,7,1,1.0,1.848723875467248,0.002862734,2.964432605034438,0.2946863105870757,9.188229969240322,0.3304689955963371,15.2828154,1.3721262515241928,1.0,1,1,0,3.8,1,8,3.059411708155671,7.2,7,8,0.3999999999999999,7.8,7,8,0.3999999999999999,6,6,6,0,4,4,4,0,0,0,0,0,0.076673633,0,0,0.5004024235381879
HUBERREGRESSOR,15,14011,935,934,0.2494438257849293,4.946130914892724,3.747323340471092,6.852248394004283,0.7753307068828531,4.946130914892724,3.747323340471092,6.852248394004283,0.7753307068828531,6,6,0,0.5,1.529225867548678,3.9752984455417296e-08,3.8513410944848063,0.491922734,8.826952681168507,0.2803910530582456,25.57182049966102,2.382455941129389,0.0,0,0,0,5.0,5,5,0.0,5.066666666666666,5,6,0.2494438257849293,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1795775276274887,0,0,0.0
LASSO,5,5760,1152,1152,0.0,5.121527777777778,4.079861111111112,5.989583333333334,0.7094728035313386,5.121527777777778,4.079861111111112,5.989583333333334,0.7094728035313386,5,5,0,0.5,2.1098996650966293,0.000853942,4.252433564048244,0.6205686766766328,9.047603355678495,1.1459136012552515,20.79884841021836,2.7916330992047658,0.0,0,0,0,2.0,0,5,2.097617696340304,4.2,4,5,0.3999999999999999,4.8,4,5,0.3999999999999999,4,4,4,0,2,2,2,0,0,0,0,0,0.012754424,0,0,0.6730116670092565
XGBRegressor,5,17280,3456,3456,0.0,4.988425925925926,4.658564814814815,5.179398148148148,0.2162215473642291,4.988425925925926,4.658564814814815,5.179398148148148,0.2162215473642291,3,3,0,0.1666666666666666,0.8600557177636141,0.000451801,4.377092093880323,0.8993157731788005,3.624928916236967,0.1571032906418863,22.270782097586103,4.532470771,0.0,0,0,0,2.8,2,3,0.3999999999999999,2.6,2,3,0.4898979485566356,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.2379048837945695,0,0,0.0
ELASTICNETCV,15,42046,2804,2803,0.2494438257849294,5.087288448,4.388155547627542,5.636817695326436,0.3198877302506866,5.087288448,4.388155547627542,5.636817695326436,0.3198877302506866,1,1,0,0.1666666666666666,0.2083424136693318,0.000268322,0.7604371230718293,0.0,1.150429261,0.8089279817601422,1.3118193948417105,0.0,0.0,0,0,0,0.066666667,0,1,0.2494438257849294,0.066666667,0,1,0.2494438257849294,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.011108206,0,0,0.0
HUBERREGRESSOR,5,8061,1613,1612,0.4,5.024237007318023,4.649721016738996,5.707196029776675,0.3768932795843754,5.024237007318023,4.649721016738996,5.707196029776675,0.3768932795843754,4,3,1,0.5,0.091228427,0.017851406,0.2310137001536427,0.000360045,1.0933596454078356,0.7827428967191117,1.284915292727035,0.00093706,1.0,1,1,0,1.6,1,4,1.2000000000000002,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1803161679884995,0,0,0.5004024235381879
